Based only on the name, what kind of object is this? (101955) 1999 RQ36	A: Asteroid
Briefly describe the following instrument and its purpose: Reflecting telescope	A: Most large optical telescopes are reflecting. Cassegrain (Hubble) is concave=>convex(facing down)=>camera. Newtonian (amateur) is concave=>flat(pointing sideways)=>camera. Schmidt-_ adds a lens at the start to correct for spherical abberation.
Briefly describe the following instrument and its purpose: Schmidt camera	A: Lens => Reflector (at bottom) => camera (which is facing downwards). E.g., Kepler.
Briefly describe the following instrument and its purpose: aperture synthesis telescope	A: Interferometry that mixes signals of many telescopes/receivers to achieve a resolution up to the equivalent resolution of a mirror with the max distance of the entire collection. E.g., Event Horizon Telescope. Requires phase information - essentially one aligns the phase along each sightline in software. Radio most common; optical you can do it with an optical setup. Each baseline is equivalent to a sample in Fourier space of the sky.
Briefly describe the following instrument and its purpose: charge coupled device	A: Digital image sensor where each pixel is represented by a capacitor. Photons are converted into electrons. The charge in the capacitor is then read out by a circuit. Put a filter over a pixel to get a color image.
Briefly describe the following instrument and its purpose: echelle spectrograph	A: Spectrograph using high-order diffraction from a grating. When you use high orders, you get better spectral resolution, but orders overlap, so you need a cross-disperser (a second grating or prism). Most modern spectrographs are echelles (e.g. Keck/HIRES, HARPS).
Briefly describe the following instrument and its purpose: grazing-incidence mirror	A: Have rings of hyperbolic mirrors which focus incoming X-rays to a point. Use because glass lenses are opaque to X-ray light: they absorb it rather than refracting it.
Briefly describe the following instrument and its purpose: grism	A: Light passes collimator then grism=(diffraction grating then prism). The output light is is divided by wavelength, even different parallel paths of light.
Briefly describe the following instrument and its purpose: hydrogen maser	A: Type of maser to be used as a frequency standard for hydrogen. Molecular hydrogen is split by electric arc; the atoms are selected by a magnetic field detector. In a storage bulb, a magnetic field is applied to counteract external ones (Earth's) to avoid zeeman level splitting, and a cavity is put in resonance with 1420 MHz to put the atoms into the higher energy state. 
Briefly describe the following instrument and its purpose: laser interferometer	A: Gravitational wave observatory. This detects change in pathlength of laser along two perpr axes -> GWs
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? 'Oumuamua	A: When observed: D~0.22 AU, R=500m x 35m rod, v~26 km/s. First known interstellar object passing through solar system. Tumbling ~ 8 hour period due to rotation about second-heaviest moment of inertia axis. 
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? 47 Tuc	A: D=4 kpc, R~18.4 pc, M~7e5 Ms, [Fe/H]=-0.8, T~13 Gyr. Very bright (m_V~4.1) GC that's almost 1 degree across. Far southern source. Has about ~10,000 stars in a dense core and many millisecond pulsars.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? 51 Peg b	A: ~20 pc away, first exoplanet orbiting MS star. Hot jupiter (~ 0.5 Msun), T ~ 1000 K, a ~ 0.05 AU
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Algol	A: Algol = beta persei is a variable star in perseus, due to eclipses. Algol = eclipsing variable + s-star system. ~ 30 pc away
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Cygnus X-1	A: D=1.9 kpc, R~20 Rs, M~15 Ms, L~3e5Ls. Bright X-ray source: a high-mass X-ray binary with blue supergiant with stellar wind and million-degree accretion disk. Has two jets.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Fermi bubbles	A: R=8kpc extending above and below MW. Large elliptical lobe of hot plasma on either side of MW. Observed in gamma rays. Thought to be from jet from Sgr A* a long time ago. 
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Io	A: D_j=2.8 mAU, R~0.29 Re, M~0.015 Me. Moon of jupiter with >400 active volcanos (from tidal heating between Jupiter and other satellites). At 2.8 mAU from Jupiter with a period of 1.8 days. Has a lot of sulfur on surface and long lava flows. Ejecta produce plasma torus of jupiter.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? LMC	A: Satellite galaxy of the Milky Way, D=50kpc, 1e10 Ms, 4 kpc in size, about 10 degrees wide, V ~ 1. At about -70 dec: the southern hemisphere. 
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Local Group	A: R~3 Mpc, M~2e12 Ms. Galaxy group with MW in a dumbell shape: MW and satellites on one and Andromeda and satellites on other (0.8 Mpc separation moving at 123 km/s to eachother). Has ~50 galaxies, mostly dwarfs.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? M31	A: D~0.8 Mpc, R~68 kpc, M~1.5e12 Ms, m_V=3.4. Is about 3 degrees in diameter. Andromeda galaxy, has about 1e12 stars. Blueshifted. Colliding in 4.5 Gyr.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? M87	A: D=16 Mpc (z=0.004), R~50 kpc, M=2e12 Msun, m_V~7. Supergiant elliptical galaxy - one of the biggest in the local universe. 12,000 GCs (MW has 200). Has 1500 pc one-side jet. One of brightest radio sources.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Orion nebula	A: Diffuse molecular cloud ~ 400 pc away. Star forming region ~ 2000 Msun.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Prox Cen	A: Closest star to sum, ~ 1.3 pc away. Red dwarf and orbiting alpha centauri. M ~ 0.1 Msun, has a planet compaion
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Ring nebula	A: D~0.8kpc, R~0.4 pc, m_V~9, L~200Ls, a planetary nebula (expanding, glowing shell of ionized gas, usually from ionizing photons from a nearby hot star, ejected from a red giant star late in its life). Has OIII (500nm), OII, NII lines
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? SN 1987A	A: Supernovae from 1987 in LMC, ~ 50 kpc, observed neutrinos
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? SS 433	A: Eclipsing X-ray binary ~ 5000 pc
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Sagittarius stream	A: Long tidal stream in MW, almost polar from sag dwarf galaxy. 20-40 kpc mean distance. Wraps around MW. 
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Sirius B	A: Companion to sirius. WD from binary with sirius A. ~ 3pc, ~ R_E, ~ 1 Msun
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Sloan Great Wall	A: Large filament of galaxies seen in Sloan survey, ~ 300 Mpc scale.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? The Antennae	A: Pair of interacting galaxies (~150 kpc size) ~ 20 Mpc away. Going through starburst phase, + discovered by Herschel
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? The Crab	A: D=2 kpc, R=10 km, L=0.9 Lsun. Remnant is 3.4 pc wide. Young neutron star with nebula from SN 1054. Seen as pulsar in optical, X-ray. Very bright X-ray source used for calibration.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? The Pleaides	A: Pleiades are an open star cluster of B-type stars closest to Earth, ~ 130 pc away, and young.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? The Sun	A: D=1.5e11 m, R=7e8 m, M=2e30 kg, L=3.8e26 W.
Briefly describe this famous astronomical object. Approximately how far away is it?  How large? How massive? Virgo cluster	A: D=16 Mpc, R~2.2 Mpc (8 degrees), M~1e15 Ms. Galaxy cluster of ~1300 galaxies including M87 and M49. Has hot (30e6 K) intracluster medium with X-rays.
Briefly describe: Cepheid variable	A: Stars that radially pulsate in a defined luminosity-period relation. Two classes: Type I Cepheids with high metallicities, and pulsation periods generally less than 10 days. Type II are low-metallicity stars with pulsation periods between 10 and 100 days. All Cepheids are luminous, yellow, horizontal branch stars that lie in the instability strip of the Hertzsprung-Russell diagram. Brighter than RRLyrae
Briefly describe: Herbig-Haro object	A: Type of variable visible emission nebula: bright patch associated with newborn stars. Formed when narrow jets of partially ionised gas ejected by stars collide with nearby clouds of gas and dust. In star-forming regions, see several around single star along rotational axis (~1 pc). Last ~30,000 years.
Briefly describe: Population II star	A: Pop II has Z/H=-3 to -1. Thus they must have formed very early on in star formation, have been recycled from previous generations of stars a few times at most. Mainly found in bulge and halo of galaxy.
Briefly describe: RR Lyrae	A: RR Lyrae variables are periodic variable stars, commonly found in globular clusters. M = -2.43 log10(P/10 days) - 4.05. Horizontal branch stars of type A or F.
Briefly describe: T Tauri star	A: Variable star < 10 million year old, very variable and still collapsing. Has lost envelope.
Briefly describe: Trojan asteroid	A: Orbits at L4/5 point of Sun-Jupiter system
Briefly describe: Type Ia supernova	A: WD accretion over chandrasekhar limit leads to thermonuclear explosion
Briefly describe: brown dwarf	A: A substellar object not quite massive enough to fuse H, but massive enough to fuse D. (>13 Jupter masses)
Briefly describe: hot Jupiter	A: Hot Jupiters are gas giant exoplanets with orbital period less than 10 days, meaning <~0.1 AU distance to host. Easy to find with radial velocity and transit methods.
Briefly describe: megamaser	A: L > 1000 Lsun maser. From population inversion e.g. OH. Found in AGN
Briefly describe: quasar	A: Very bright and compact objects >~3 GPc away found in the core of their host. Powered by supermassive black hole (1e6-1e9+ Ms) surrounded by hot accretion disk of infalling matter. Powerful type of AGN. Blazar is even more powerful since its jets point at Earth.
Briefly describe: superluminal jets	A: When you have a relativistic jet aimed close to the observer, you see a "light-train" which makes it look like material is moving faster than light. Apparent velocity is v/(1+n.v/c) which can be > c. This is frequently seen in radio sources, gamma-ray bursts. 
Briefly describe: ultra-diffuse galaxy	A: Galaxies that are extremely diffuse, but have mass similar to an L* galaxy.
Briefly explain AGN feedback	A: AGN has outflows and radiation that is deposited in the ISM, heating up gas and driving it out of galaxy, reducing star formation.
Briefly explain Anthropic principle	A: A philosophical consideration that observations of the universe must be compatible with the conscious and sapient life that observes it. Proponents of the anthropic principle reason that it explains why this universe has the age and the fundamental physical constants necessary to accommodate conscious life. As a result, they believe it is unremarkable that this universe has fundamental constants that happen to fall within the narrow range thought to be compatible with life.
Briefly explain Apsidal precession, nodal precession	A: Precession of an orbital plane around a body due to non-spherical rotating body giving a non-uniform gravitational field. Nodal: movement of ascending node (moon ~19 years), apsidal: movement of major axis. Label on a diagram.
Briefly explain Asymptotic giant	A: Close to RGB (and asymptotic to) shell He + H burning. Often variable. Occurs in all low-m stars.
Briefly explain B-modes	A: B-modes = one of CMB polarization-modes. Stokes vector decomposed into E, B = curl-like mode. No standard CMB contributions, but dust + lensing
Briefly explain Baryon acoustic oscillations	A: Photon-baryon fluid oscillations frozen into CMB.
Briefly explain Bolometric magnitude	A: The bolometric magnitude of a star is a measure of the total radiation of a star emitted across all wavelengths of the electromagnetic spectrum.
Briefly explain Bremsstrahlung	A: "deceleration radiation", is electromagnetic radiation produced by the deceleration of a charged particle when deflected by another charged particle, typically an electron by an atomic nucleus. Power \propto q^2 a^2 \gamma^6.
Briefly explain Broad-line region	A: At AGN (compact galactic center with much greater luminosity), the center region has very broad emission lines, indicating high range of Doppler shifts due to high velocity of materials around the central black hole.
Briefly explain CO X-Factor	A: Conversion between CO integrated line profile and total H2 mass determined empirically. Need for observations of H2 eg in molecular clouds. N(H2) = X_CO * W(CO) = 2e20 (W(CO)/(K km/s)) cm^-2. Works since critical density so low.
Briefly explain Chirp mass	A: = mu^(3/5) M_T^(2/5). It determines the leading order df/dt of a compact binary system via emitting waves. df/dt \propto f^(11/3) Mch^(5/3). Because of this, it's measurable via f and df/dt.
Briefly explain Cooling function	A: Cooling rate / n_e n_H. Lambda = cooling rate per time per volume, via lines, free-free etc.
Briefly explain Cosmic variance	A: Intrinsic uncertainty in astronomy since there is only one universe, and we only have a single viewpoint. Only a single CMB that we can observe. 
Briefly explain Dispersion measure	A: The speed of light through plasma depends on its frequency and the density of the plasma. DM is the column density of n_e. Time delay \propto DM/nu^2. 
Briefly explain Distance ladder	A: Use parallax to calibrate LMC distance, used to calibrate Cepheids, used to calibrate IaSNe
Briefly explain Dynamical friction	A: aka gravitational drag. Loss of momentum of moving bodies by gravitational interactions with surrounding matter. For small speeds (but only perturbing stars moving slower contribute), this is dv/dt ~ - m (M+m) n_0 v, where m is the perturbing mass, n is the number density, and M is the mass of the object. Dynamical friction matters the most for intermediate velocities.
Briefly explain Dynamical timescale	A: Timescale for free collapse without resistive forces, i.e. t_ff = 1/sqrt{G rho}, from accel = F_grav equation
Briefly explain Early-type galaxy	A: Early type = elliptical, red, kinematically hot, sigma >> v_rot, little star formation, old
Briefly explain Early-type star	A: Hot stars (by spectral type), i.e. O stars earlier than B stars, G0 stars earlier than G2 stars.
Briefly explain Eddington approximation	A: Can assume that fraction of gas pressure to radiative pressure is constant. Or that intensity in a plane-parallel medium is a linear function of mu, i.e. I(mu,z) = a(z) + mu b(z)
Briefly explain Emission measure	A: An integral over the square number density of electrons over a volume. The flux of optically thin emission from a plasma (e.g. thermal bremsstrahlung/free-free in HII regions) is then directly proportional to the emission measure of the plasma multiplied by a temperature dependent cooling loss law. Usually tau ~ T^-1.3 EM / nu^2. 
Briefly explain Faraday rotation	A: Rotation of the polarization angle of light due to a parallel magnetic field. Rate per distance \propto n_e B_0 / nu^2. Total rotation = (rotation measure=RM) lambda^2
Briefly explain Flat rotation curve	A: Not expected from disk matter distribution ( ~ exponential) suggetsing large DM halo to get v ~ flat
Briefly explain Forbidden transition	A: Energy transition of a quantum system forbidden by selection rules, and therefore very rare. Occurs when the first-order position operator vanishes. E.g., 21-cm is only 1/10-million years because violates dipole selection rules (it has delta L = 1, which is not allowed). 
Briefly explain Fraunhofer lines	A: Typical spectral absorption lines seen in the sun due to gas in its atmosphere. Major ones are associated with Oxygen gas, Halpha/beta/gamma/delta, Sodium, Helium, Iron, magnesium, Calcium, Mercury, Nickel
Briefly explain Galaxy bias	A: Spatial clustering of galaxies doesn't mirror clustering of matter exactly. Galaxy density can be non-local stochastic function of DM density. Linear bias = d_g/d = (mean overdensity galaxies/mean overdensity matter). Also equal to sqrt over ratio of two-point correlation functions (gal/dm). Function of scale. b>1 biased. b<1 anti-biased.
Briefly explain Geometric and spectroscopic parallax	A: Geometric parallax is the apparent movement of a distant star created by the relative motion between Earth around the sun and that star, projected on a fixed background. Spectroscopic parallax relies on measuring the difference between the absolute magnitude for a star predicted by a stellar model for its spectral type and the apparent magnitude.
Briefly explain Gravitational-wave strain	A: h=2*(delta x)/x - two times the relative change in a distance. h~M*beta/r, beta the velocities in the system, and r the distance from the source to the observer
Briefly explain Healpix	A: A class of pixelizations of a spherical shell, which has equal-area pixels, arranged along concentric circles, and can be stored hierarchically at finer detail (one pixel->four pixels at the finer level). Commonly used for storing and analyzing CMB maps (H=4, K=3 HEALPix).
Briefly explain Horseshoe orbit	A: Type of co-orbital motion of a small orbiting body relative to a larger orbiting body (planet), in which the small orbiting body has the same period as the planet, but in a rotating reference frame, moves in a horseshoe shape relative to the planet. 
Briefly explain Jean's instability, mass, length	A: Jeans instability causes the collapse of interstellar gas clouds due to when the internal gas pressure is not strong enough to prevent the gravitational collapse due to its mass. Derive when t_ff (1/sqrt(G rho)) = t_sound (R/cs). The Jean's mass = critical mass ~ cs^3/sqrt(rho). Jean's length ~ cs/sqrt(rho) ~  sqrt(T/rho) . forms the largest stable scale (diameter).
Briefly explain K-correction	A: A magnitude added to the distance modulus to "fix" the distance modulus equation (m-M=DM + K) because a brighter part of the source's spectrum is redshifted into the band. Requires knowledge of the source spectrum and redshift.
Briefly explain Kelvin-Helmholtz instability	arises when there is a velocity shear between two fluids
Briefly explain Keplerian orbit	A: In celestial mechanics, a Kepler orbit (or Keplerian orbit) is the motion of one body relative to another, as an ellipse, parabola, or hyperbola, which forms a two-dimensional orbital plane in three-dimensional space. It considers only the point-like gravitational attraction of two bodies.
Briefly explain Lagrangian points, and describe each of them	A: Are the points near two large bodies in orbit where a smaller object will maintain its position relative to the large orbiting bodies. In other words, they are local extrema of the potential. Looking to the sun, L1 (front), L2 (behind), L3 (across sun), L4 and L5 to the right and left. Trojan sattelites often in L4/L5 (Jupiter has a million).
Briefly explain Limb darkening	A: Edge of star in image ~ limb. Darker because of decreasing effective temperature in the photosphere and increasing optical depth.
Briefly explain Lyman break	A: Lyman-break refers to the fact that radiation at higher energies than the Lyman limit at 912 Å (in the rest frame of a galaxy) are almost completely absorbed by neutral gas. 
Briefly explain Mass function of a binary	A: The Binary Mass Function lets you infer mass information of a binary from only measuring the period and projected semi-major axis (which is usually all you can get for a spectroscopic single-line binary or pulsar). f(m1, m2) ~ (a sin i)^3/P^2 ~ (m2 sin i)^3/(m1 + m2)^2.
Briefly explain Metallicity	A: Heavier elements than hydrogen are metals. Z is abundance by mass. Commonly indicated with Iron via [Fe/H] which is logarithmic ratio over the Sun's value which is about 0.02 (-1 is one-tenth). SNe pollute galaxy with metals, so recently-formed stars have greater metallicity.
Briefly explain Minimum mass solar nebula	A: A protoplanetary disk with the minimum amount of solids needed to build the solar nebula. Assuming that the planets accreted *all* the solids and formed locally
Briefly explain No-hair theorem	A: All BH solutions in GR can be completely defined by mass, angular momentum, and charge.
Briefly explain Optical depth	A: The logarithm of the fraction of flux received to transmitted by a material. Equal to an integral of extinction coefficient along the line of sight, or \sigma N (N the column density).
Briefly explain Orbital parameters and parts of an orbit	A: Reproduce this diagram: https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Orbit1.svg/1920px-Orbit1.svg.png. Periapsis is closest, apoapsis is farthest. (Peri)-gee is Moon->Earth, -helio is Earth->Sun.
Briefly explain P Cygni profile	A: P Cygni has an expanding gaseous envelope which absorbs light that the source emits. The expanding envelope has a blueshifted profile, leading to a dip and then peak in the spectrum at the same line. P Cygni H alpha light is emitted from this dense stellar wind close to the star.
Briefly explain Peculiar velocity	A: Motion of a galaxy relative to that expected from isotropic expansion of the universe (the Hubble flow).
Briefly explain Periastron	A: Closest separation between stars in a binary system.
Briefly explain Photometric redshift	A: Get redshift from colors of galaxies in multiple frequency bands to get spectrum and approximate z
Briefly explain Plasma β	A: The ratio of the thermal energy to the magnetic energy. Quantifies the relative importance of magnetic vs thermal pressure as well, and if the magnetic field plays an active dynamical role.
Briefly explain Polytrope	A: a physical system following the equation of state P = K*rho^((n+1)/n), n the polytropic index. NS: n=[0.5,1], Jupiter/Red giants/rocky/low mass WD: n=1.5,  Sun: n=3. Larger n causes greater central density.
Briefly explain Proper motion	A: The motion of an object on the sky, measured in angle/time, often microarcseconds/year. Depends on how far away the object is, of course.
Briefly explain Rayleigh–Taylor instability	A:arise when a less dense fluid tries to accelerate a more dense fluid. Typically a denser fluid sits on top of a less dense fluid in a gravitational field.
